10y,20y,30y,40y,50y
10830.0,10830.0,10830.0,10830.0,10830.0
8146.0,8146.0,8146.0,8146.0,8146.0
11478.0,11478.0,11478.0,11478.0,11478.0
11682.0,11682.0,11682.0,11682.0,11682.0
9614.0,9614.0,9614.0,9614.0,9614.0
12346.0,12346.0,12346.0,12346.0,12346.0
11046.0,11386.0,11790.0,12178.0,13306.0
9446.0,9446.0,9446.0,9446.0,9446.0
11946.0,11946.0,12938.0,13890.0,14474.0
9666.0,9666.0,9666.0,9666.0,9666.0
7238.0,7238.0,7238.0,7238.0,7238.0
10294.0,10294.0,10294.0,10294.0,10294.0
11030.0,11030.0,11030.0,11030.0,11030.0
9030.0,9030.0,9030.0,9030.0,9030.0
11494.0,11494.0,11494.0,11494.0,11494.0
9698.0,10030.0,10942.0,11690.0,12614.0
7278.0,7278.0,8550.0,8550.0,9842.0
10310.0,10802.0,11782.0,12582.0,14830.0
8458.0,8458.0,8458.0,8458.0,8458.0
6254.0,6254.0,6254.0,6254.0,6254.0
9094.0,9094.0,9094.0,9094.0,9094.0
10238.0,10238.0,10238.0,10238.0,10238.0
8326.0,8326.0,8326.0,8326.0,8326.0
10738.0,10738.0,10738.0,10738.0,10738.0
10490.0,10490.0,10490.0,11242.0,12558.0
7638.0,7638.0,8094.0,8526.0,9462.0
10874.0,10930.0,11530.0,12006.0,14090.0
9090.0,9090.0,9090.0,9090.0,9090.0
6518.0,6518.0,6518.0,6518.0,6518.0
9642.0,9642.0,9642.0,9642.0,9642.0
10526.0,10526.0,10526.0,10526.0,10526.0
8638.0,8638.0,8638.0,8638.0,8638.0
11034.0,11034.0,11034.0,11034.0,11034.0
9006.0,9518.0,10514.0,11130.0,12866.0
8846.0,8846.0,8846.0,8846.0,8846.0
9734.0,9998.0,11206.0,12882.0,14514.0
8162.0,8162.0,8162.0,8162.0,8162.0
5830.0,5830.0,5830.0,5830.0,5830.0
8730.0,8730.0,8730.0,8730.0,8730.0
10106.0,10106.0,10106.0,10106.0,10106.0
8266.0,8266.0,8266.0,8266.0,8266.0
10562.0,10562.0,10562.0,10562.0,10562.0
8050.0,8090.0,9438.0,11518.0,11738.0
8294.0,8294.0,8294.0,8294.0,8294.0
8710.0,9298.0,10518.0,11686.0,14230.0
7182.0,7182.0,7182.0,7182.0,7182.0
4962.0,4962.0,4962.0,4962.0,4962.0
7758.0,7758.0,7758.0,7758.0,7758.0
9482.0,9482.0,9482.0,9482.0,9482.0
7666.0,7666.0,7666.0,7666.0,7666.0
9854.0,9854.0,9854.0,9854.0,9854.0
8774.0,9074.0,9578.0,10058.0,12390.0
7450.0,7450.0,7638.0,8086.0,8630.0
11374.0,11374.0,11374.0,11374.0,12914.0
7730.0,7730.0,7730.0,7730.0,7730.0
5386.0,5386.0,5386.0,5386.0,5386.0
8422.0,8422.0,8422.0,8422.0,8422.0
9770.0,9770.0,9770.0,9770.0,9770.0
8030.0,8030.0,8030.0,8030.0,8030.0
10246.0,10270.0,10270.0,10270.0,10270.0
9990.0,10086.0,10530.0,11158.0,12110.0
8086.0,8086.0,8214.0,8994.0,9802.0
11270.0,11702.0,12146.0,12434.0,12982.0
6970.0,6970.0,6970.0,6970.0,6970.0
4638.0,4638.0,4638.0,4638.0,4638.0
7574.0,7574.0,7574.0,7574.0,7574.0
9410.0,9410.0,9410.0,9410.0,9410.0
7658.0,7658.0,7658.0,7658.0,7658.0
9902.0,9902.0,9902.0,9902.0,9902.0
8830.0,9014.0,9774.0,10494.0,12102.0
7958.0,7958.0,7962.0,8006.0,8006.0
11578.0,11578.0,11578.0,11578.0,11974.0
6174.0,6174.0,6174.0,6174.0,6174.0
3949.3333333333335,3949.3333333333335,3949.3333333333335,3949.3333333333335,3949.3333333333335
6774.0,6774.0,6774.0,6774.0,6774.0
8762.0,8762.0,8762.0,8762.0,8762.0
7122.0,7122.0,7122.0,7122.0,7122.0
9198.0,9198.0,9198.0,9198.0,9198.0
9790.0,9790.0,9790.0,9950.0,10370.0
6978.0,6978.0,7166.0,7970.0,8890.0
8678.0,8770.0,9522.0,10834.0,13470.0
7454.0,7454.0,7454.0,7454.0,7454.0
4862.0,4862.0,4862.0,4862.0,4862.0
8318.0,8318.0,8318.0,8318.0,8318.0
9294.0,9294.0,9294.0,9294.0,9294.0
7590.0,7590.0,7590.0,7590.0,7590.0
9754.0,9754.0,9754.0,9754.0,9754.0
10426.0,10426.0,10426.0,10682.0,12046.0
8450.0,8450.0,8450.0,8450.0,8450.0
11618.0,11618.0,11618.0,11618.0,12358.0
6210.0,6210.0,6210.0,6210.0,6210.0
4158.0,4158.0,4158.0,4158.0,4158.0
7278.0,7278.0,7278.0,7278.0,7278.0
8910.0,8910.0,8910.0,8910.0,8910.0
7178.0,7178.0,7178.0,7178.0,7178.0
9294.0,9294.0,9294.0,9294.0,9294.0
7822.0,7826.0,9702.0,9822.0,12202.0
7862.0,7862.0,7862.0,7862.0,7862.0
9118.0,9118.0,10014.0,10162.0,13334.0
5426.0,5426.0,5426.0,5426.0,5426.0
3884.6666666666665,3881.3333333333335,3881.3333333333335,3881.3333333333335,3881.3333333333335
6290.0,6290.0,6290.0,6290.0,6290.0
8314.0,8314.0,8314.0,8314.0,8314.0
6734.0,6734.0,6734.0,6734.0,6734.0
8786.0,8786.0,8786.0,8786.0,8786.0
9918.0,9918.0,9918.0,9918.0,9918.0
6994.0,6994.0,7034.0,7718.0,8274.0
10574.0,10574.0,10574.0,10678.0,12542.0
7770.0,7994.0,7994.0,7998.0,7998.0
5322.0,5322.0,5322.0,5322.0,5322.0
8938.0,8938.0,8938.0,8938.0,8938.0
9118.0,9118.0,9118.0,9118.0,9118.0
7382.0,7382.0,7382.0,7382.0,7382.0
9814.0,9814.0,9814.0,9814.0,9814.0
10894.0,10894.0,10894.0,10894.0,10894.0
8334.0,8334.0,8334.0,8334.0,8334.0
9950.0,10302.0,11322.0,12242.0,12858.0
6674.0,6702.0,6778.0,6778.0,6778.0
4149.333333333334,4149.333333333334,4149.333333333334,4149.333333333334,4149.333333333334
7690.0,7690.0,7690.0,7690.0,7690.0
8574.0,8574.0,8574.0,8574.0,8574.0
6906.0,6906.0,6906.0,6906.0,6906.0
9218.0,9218.0,9218.0,9218.0,9218.0
10378.0,10378.0,10378.0,10378.0,10378.0
7710.0,7710.0,7710.0,7734.0,7734.0
11174.0,11174.0,11174.0,11258.0,11618.0
5734.0,5734.0,5734.0,5734.0,5734.0
3830.0,3830.0,3830.0,3830.0,3830.0
6318.0,6710.0,6710.0,6710.0,6710.0
8102.0,8102.0,8102.0,8102.0,8102.0
6474.0,6474.0,6474.0,6474.0,6474.0
8622.0,8622.0,8622.0,8622.0,8622.0
9990.0,9990.0,9990.0,9990.0,9990.0
7254.0,7254.0,7254.0,7254.0,7254.0
9730.0,9730.0,9846.0,10630.0,12010.0
10878.0,10878.0,10878.0,10878.0,10878.0
8214.0,8214.0,8214.0,8214.0,8214.0
11602.0,11602.0,11602.0,11602.0,11602.0
11678.0,11678.0,11678.0,11678.0,11678.0
9730.0,9730.0,9730.0,9730.0,9730.0
12394.0,12394.0,12394.0,12394.0,12394.0
11638.0,11638.0,12018.0,12042.0,12830.0
9386.0,9390.0,9438.0,9462.0,9506.0
10858.0,11650.0,12550.0,13974.0,15074.0
9722.0,9722.0,9722.0,9722.0,9722.0
7290.0,7290.0,7290.0,7290.0,7290.0
10386.0,10386.0,10386.0,10386.0,10386.0
11034.0,11034.0,11034.0,11034.0,11034.0
9038.0,9038.0,9038.0,9038.0,9038.0
11530.0,11530.0,11530.0,11530.0,11530.0
10126.0,10478.0,11210.0,11722.0,12654.0
7598.0,7598.0,8114.0,8878.0,9894.0
10526.0,11190.0,12114.0,12902.0,14934.0
8526.0,8526.0,8526.0,8526.0,8526.0
6282.0,6282.0,6282.0,6282.0,6282.0
9182.0,9182.0,9182.0,9182.0,9182.0
10330.0,10330.0,10330.0,10330.0,10330.0
8306.0,8306.0,8306.0,8306.0,8306.0
10810.0,10810.0,10810.0,10810.0,10810.0
10950.0,10950.0,10950.0,11146.0,11890.0
8418.0,8418.0,8454.0,8566.0,8682.0
8838.0,10002.0,11654.0,12494.0,14402.0
9114.0,9114.0,9114.0,9114.0,9114.0
6574.0,6574.0,6574.0,6574.0,6574.0
9714.0,9714.0,9714.0,9714.0,9714.0
10518.0,10518.0,10518.0,10518.0,10518.0
8674.0,8674.0,8674.0,8674.0,8674.0
11082.0,11082.0,11082.0,11082.0,11082.0
9426.0,9826.0,10650.0,11614.0,13302.0
8770.0,8770.0,8770.0,8770.0,8770.0
10294.0,10702.0,11478.0,12250.0,14990.0
8222.0,8222.0,8222.0,8222.0,8222.0
5874.0,5874.0,5874.0,5874.0,5874.0
8810.0,8810.0,8810.0,8810.0,8810.0
10150.0,10150.0,10150.0,10150.0,10150.0
8262.0,8262.0,8262.0,8262.0,8262.0
10566.0,10566.0,10566.0,10566.0,10566.0
9018.0,9418.0,10038.0,10642.0,12810.0
7394.0,7394.0,7630.0,8002.0,8822.0
10526.0,10562.0,10894.0,11846.0,13326.0
7222.0,7222.0,7222.0,7222.0,7222.0
5002.0,5002.0,5002.0,5002.0,5002.0
7842.0,7842.0,7842.0,7842.0,7842.0
9454.0,9454.0,9454.0,9454.0,9454.0
7666.0,7666.0,7666.0,7666.0,7666.0
9874.0,9874.0,9874.0,9874.0,9874.0
7750.0,7962.0,9114.0,9842.0,12242.0
7946.0,7946.0,7954.0,7990.0,7990.0
10958.0,10958.0,11186.0,11418.0,13014.0
7798.0,7798.0,7798.0,7798.0,7798.0
5414.0,5414.0,5414.0,5414.0,5414.0
8462.0,8462.0,8462.0,8462.0,8462.0
9802.0,9802.0,9802.0,9802.0,9802.0
8038.0,8038.0,8038.0,8038.0,8038.0
10282.0,10282.0,10282.0,10282.0,10282.0
9218.0,9570.0,9974.0,10578.0,13282.0
8750.0,8750.0,8750.0,8750.0,8750.0
11854.0,11854.0,11854.0,11954.0,12626.0
7018.0,7018.0,7018.0,7018.0,7018.0
4678.0,4678.0,4678.0,4678.0,4678.0
7610.0,7610.0,7610.0,7610.0,7610.0
9446.0,9446.0,9446.0,9446.0,9446.0
7706.0,7706.0,7706.0,7706.0,7706.0
9878.0,9878.0,9878.0,9878.0,9878.0
10886.0,10886.0,10886.0,10886.0,10886.0
8070.0,8070.0,8070.0,8070.0,8070.0
8690.0,8694.0,9830.0,10866.0,14638.0
6214.0,6214.0,6214.0,6214.0,6214.0
3981.3333333333335,3981.3333333333335,3981.3333333333335,3981.3333333333335,3981.3333333333335
6822.0,6822.0,6822.0,6822.0,6822.0
8850.0,8850.0,8850.0,8850.0,8850.0
7138.0,7138.0,7138.0,7138.0,7138.0
9262.0,9262.0,9262.0,9262.0,9262.0
10234.0,10234.0,10234.0,10234.0,10234.0
7630.0,7630.0,7630.0,7630.0,7630.0
10770.0,10770.0,10770.0,10770.0,12582.0
7314.0,7610.0,7610.0,7610.0,7610.0
4990.0,5002.0,5002.0,5002.0,5002.0
8286.0,8614.0,8614.0,8614.0,8614.0
9298.0,9298.0,9298.0,9298.0,9298.0
7602.0,7602.0,7602.0,7602.0,7602.0
9882.0,9882.0,9882.0,9882.0,9882.0
10402.0,10554.0,10742.0,11106.0,11966.0
8522.0,8522.0,8522.0,8522.0,8522.0
11882.0,11882.0,11882.0,11882.0,12290.0
6362.0,6362.0,6362.0,6362.0,6362.0
4182.0,4182.0,4182.0,4182.0,4182.0
7278.0,7278.0,7278.0,7278.0,7278.0
8926.0,8926.0,8926.0,8926.0,8926.0
