10y,20y,30y,40y,50y
9506.0,9506.0,9506.0,9506.0,9506.0
6674.0,6674.0,6674.0,6674.0,6674.0
10478.0,10478.0,10478.0,10478.0,10478.0
7742.0,9446.0,10094.0,10094.0,10094.0
6866.0,6866.0,6866.0,6866.0,6866.0
8246.0,9998.0,11306.0,11486.0,11486.0
8054.0,9122.0,9794.0,9998.0,11090.0
6590.0,6590.0,7010.0,7046.0,7046.0
8462.0,9542.0,11306.0,11546.0,12926.0
8966.0,8966.0,8966.0,8966.0,8966.0
5966.0,5966.0,5966.0,5966.0,5966.0
9986.0,9986.0,9986.0,9986.0,9986.0
7586.0,9386.0,9386.0,9854.0,10322.0
6794.0,6794.0,6794.0,6794.0,6794.0
9002.0,9902.0,10982.0,11306.0,11606.0
7850.0,7850.0,9686.0,9794.0,10994.0
5306.0,5306.0,7046.0,7046.0,7046.0
8138.0,8882.0,10694.0,11150.0,12950.0
8006.0,8006.0,8006.0,8006.0,8006.0
5510.0,5510.0,5510.0,5510.0,5510.0
9074.0,9074.0,9074.0,9074.0,9074.0
9254.0,9254.0,9254.0,9254.0,9254.0
6422.0,6422.0,6422.0,6422.0,6422.0
10238.0,10238.0,10238.0,10238.0,10238.0
7130.0,7130.0,9482.0,9494.0,11042.0
5402.0,5414.0,6134.0,6794.0,6794.0
6914.0,8114.0,10322.0,10790.0,12734.0
8534.0,8534.0,8534.0,8534.0,8534.0
5786.0,5786.0,5786.0,5786.0,5786.0
9434.0,9434.0,9434.0,9434.0,9434.0
8870.0,8870.0,8870.0,8870.0,8870.0
6206.0,6206.0,6206.0,6206.0,6206.0
10202.0,10202.0,10202.0,10202.0,10202.0
7394.0,7394.0,10430.0,10466.0,10466.0
6182.0,6182.0,6350.0,6770.0,6770.0
5438.0,6926.0,10250.0,13298.0,13298.0
7694.0,7694.0,7694.0,7694.0,7694.0
5054.0,5054.0,5054.0,5054.0,5054.0
8594.0,8594.0,8594.0,8594.0,8594.0
8390.0,8390.0,8390.0,8390.0,8390.0
6062.0,6062.0,6062.0,6062.0,6062.0
7970.0,9194.0,9194.0,9698.0,9698.0
5222.0,6926.0,7850.0,9974.0,9974.0
5546.0,5546.0,5690.0,6518.0,6518.0
6446.0,7670.0,9878.0,10706.0,12710.0
6890.0,6890.0,6890.0,6890.0,6890.0
4370.0,4370.0,4370.0,4370.0,4370.0
7922.0,7922.0,7922.0,7922.0,7922.0
7862.0,7862.0,7862.0,7862.0,7862.0
5450.0,5450.0,5450.0,5450.0,5450.0
8978.0,8978.0,8978.0,8978.0,8978.0
6662.0,6662.0,9254.0,9254.0,9254.0
3840.0,3840.0,5150.0,6350.0,6350.0
7010.0,7022.0,9770.0,10982.0,11738.0
7574.0,7574.0,7574.0,7574.0,7574.0
3840.0,4874.0,4874.0,4874.0,4874.0
8510.0,8510.0,8510.0,8510.0,8510.0
7586.0,7586.0,7586.0,7586.0,7586.0
5378.0,5378.0,5378.0,5378.0,5378.0
8786.0,8786.0,8786.0,8786.0,8786.0
7934.0,7934.0,7934.0,7958.0,10238.0
6194.0,6194.0,6194.0,6194.0,6194.0
7790.0,7790.0,10958.0,11174.0,12230.0
6926.0,6926.0,6926.0,6926.0,6926.0
3840.0,4262.0,4262.0,4262.0,4262.0
7814.0,7814.0,7814.0,7814.0,7814.0
7490.0,7490.0,7490.0,7490.0,7490.0
5318.0,5318.0,5318.0,5318.0,5318.0
8642.0,8642.0,8642.0,8642.0,8642.0
6338.0,7106.0,8150.0,9038.0,10526.0
5522.0,5522.0,5522.0,5990.0,5990.0
7334.0,7406.0,9266.0,9926.0,12062.0
6110.0,6110.0,6110.0,6110.0,6110.0
3830.0,3830.0,3830.0,3830.0,3830.0
6950.0,6950.0,6950.0,6950.0,6950.0
6926.0,6926.0,6926.0,6926.0,6926.0
4778.0,4778.0,4778.0,4778.0,4778.0
8102.0,8102.0,8102.0,8102.0,8102.0
5642.0,5642.0,7202.0,8150.0,10466.0
4814.0,4814.0,4814.0,5498.0,5498.0
7802.0,7802.0,7826.0,7970.0,11666.0
7250.0,7250.0,7250.0,7250.0,7250.0
3840.0,4634.0,4634.0,4634.0,4634.0
8042.0,8042.0,8042.0,8042.0,8042.0
6590.0,6590.0,6590.0,6590.0,6590.0
4310.0,4310.0,4310.0,4310.0,4310.0
7262.0,7262.0,7262.0,7262.0,7262.0
7166.0,7166.0,8006.0,8630.0,11678.0
5822.0,5822.0,5822.0,5822.0,5822.0
7718.0,7718.0,9314.0,9698.0,12002.0
6374.0,6374.0,6374.0,6374.0,6374.0
3890.0,3890.0,3890.0,3890.0,3890.0
7334.0,7334.0,7334.0,7334.0,7334.0
6578.0,6578.0,6578.0,6578.0,6578.0
4310.0,4310.0,4310.0,4310.0,4310.0
7226.0,7226.0,7226.0,7226.0,7226.0
4298.0,4298.0,8294.0,9110.0,9854.0
5270.0,5270.0,5318.0,5666.0,5666.0
5186.0,5186.0,9806.0,10418.0,11246.0
5534.0,5534.0,5534.0,5534.0,5534.0
3830.0,3830.0,3830.0,3830.0,3830.0
6350.0,6350.0,6350.0,6350.0,6350.0
6242.0,6242.0,6242.0,6242.0,6242.0
4034.0,4034.0,4034.0,4034.0,4034.0
6938.0,6938.0,6938.0,6938.0,6938.0
7370.0,7370.0,7370.0,7454.0,9050.0
3866.0,3866.0,4034.0,5282.0,5282.0
7106.0,7106.0,7850.0,8762.0,11810.0
6986.0,6986.0,6986.0,6986.0,6986.0
3840.0,3840.0,4202.0,4202.0,4202.0
8162.0,8162.0,8162.0,8162.0,8162.0
5666.0,5666.0,5666.0,5666.0,5666.0
3830.0,3830.0,3830.0,3830.0,3830.0
6338.0,6338.0,6338.0,6338.0,6338.0
7910.0,7910.0,8246.0,8858.0,10046.0
5678.0,5678.0,5678.0,5678.0,5678.0
7310.0,8078.0,10478.0,11246.0,12158.0
3840.0,6494.0,6494.0,6494.0,6494.0
3830.0,3830.0,3830.0,3830.0,3830.0
4274.0,7478.0,7478.0,7478.0,7478.0
5666.0,5666.0,5666.0,5666.0,5666.0
3830.0,3830.0,3830.0,3830.0,3830.0
