10y,20y,30y,40y,50y,60y,70y,80y,90y,100y
1779.166667,1779.166667,1779.166667,1779.166667,1779.166667,1779.166667,1779.166667,1779.166667,1779.166667,1779.166667
1000.166667,1163.166667,1163.166667,1163.166667,1184.166667,1188.166667,1188.166667,1188.166667,1188.166667,1188.166667
1533.166667,1533.166667,1533.166667,1533.166667,2212.166667,2286.166667,2286.166667,2286.166667,2286.166667,2286.166667
1225.166667,1583.166667,1658.166667,1658.166667,1658.166667,1658.166667,1658.166667,1658.166667,1658.166667,1979.166667
1049.166667,1136.166667,1136.166667,1136.166667,1136.166667,1136.166667,1211.166667,1342.166667,1499.166667,1635.166667
732.1666667,1289.166667,1659.166667,1751.166667,1751.166667,1751.166667,1751.166667,1914.166667,2282.166667,2317.166667
1870.166667,1989.166667,2062.166667,2188.166667,2314.166667,2436.166667,2531.166667,2531.166667,2531.166667,2531.166667
1129.166667,1297.166667,1297.166667,1297.166667,1297.166667,1297.166667,1436.166667,1686.166667,2015.166667,2366.166667
1415.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1676.166667,1726.166667,1752.166667,1793.166667,1827.166667,1854.166667,1872.166667,1882.166667,1884.166667,1884.166667
2494.166667,2494.166667,2494.166667,2494.166667,2494.166667,2494.166667,2494.166667,2494.166667,2494.166667,2494.166667
1905.166667,1905.166667,1905.166667,1905.166667,1905.166667,1905.166667,1905.166667,1905.166667,1905.166667,1905.166667
1180.166667,1464.166667,1803.166667,2524.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1114.166667,1682.166667,1682.166667,1682.166667,1682.166667,1682.166667,1770.166667,1867.166667,1954.166667,2027.166667
851.1666667,851.1666667,1347.166667,1348.166667,1348.166667,1348.166667,1348.166667,1914.166667,2531.166667,2531.166667
1803.166667,1803.166667,1803.166667,1803.166667,1803.166667,1803.166667,1803.166667,1803.166667,1803.166667,2531.166667
1142.166667,1645.166667,1645.166667,1645.166667,1645.166667,1645.166667,1736.166667,1847.166667,1957.166667,2067.166667
1979.166667,1979.166667,1979.166667,1979.166667,1979.166667,1979.166667,1979.166667,1979.166667,1979.166667,2531.166667
1911.166667,1911.166667,1911.166667,1911.166667,1911.166667,1911.166667,1911.166667,1911.166667,1911.166667,1911.166667
1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667,1564.166667
1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667
1494.166667,1710.166667,1860.166667,2136.166667,2412.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1389.166667,1687.166667,1687.166667,1687.166667,1687.166667,1687.166667,1736.166667,1792.166667,1847.166667,1901.166667
954.1666667,1805.166667,2513.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1612.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1132.166667,1630.166667,1630.166667,1630.166667,1630.166667,1630.166667,1721.166667,1829.166667,1938.166667,2045.166667
1992.166667,2221.166667,2442.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1115.166667,1232.166667,1306.166667,1432.166667,1551.166667,1645.166667,1702.166667,1716.166667,1716.166667,1716.166667
1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667,1121.166667
1173.166667,1310.166667,1431.166667,1577.166667,1719.166667,1845.166667,1943.166667,2004.166667,2022.166667,2022.166667
1841.166667,1841.166667,1841.166667,1841.166667,1841.166667,1841.166667,1841.166667,1841.166667,1847.166667,1847.166667
1635.166667,1635.166667,1635.166667,1635.166667,1635.166667,1635.166667,1635.166667,1635.166667,1635.166667,1635.166667
1032.166667,1986.166667,2393.166667,2393.166667,2393.166667,2393.166667,2393.166667,2393.166667,2393.166667,2393.166667
1097.166667,1117.166667,1136.166667,1183.166667,1256.166667,1360.166667,1494.166667,1649.166667,1807.166667,1945.166667
779.1666667,992.1666667,992.1666667,992.1666667,992.1666667,992.1666667,1077.166667,1202.166667,1352.166667,1522.166667
1342.166667,1342.166667,1342.166667,1342.166667,1342.166667,1478.166667,1650.166667,1650.166667,1650.166667,2244.166667
999.1666667,1030.166667,1054.166667,1106.166667,1175.166667,1258.166667,1349.166667,1439.166667,1519.166667,1576.166667
710.1666667,815.1666667,815.1666667,815.1666667,815.1666667,815.1666667,843.1666667,883.1666667,928.1666667,979.1666667
1013.166667,1078.166667,1148.166667,1249.166667,1368.166667,1495.166667,1620.166667,1727.166667,1802.166667,1834.166667
1548.166667,1548.166667,1978.166667,1992.166667,2026.166667,2026.166667,2026.166667,2026.166667,2026.166667,2026.166667
1625.166667,1625.166667,1625.166667,1625.166667,1625.166667,1625.166667,1625.166667,1625.166667,1625.166667,1625.166667
806.1666667,1718.166667,2248.166667,2289.166667,2289.166667,2289.166667,2289.166667,2289.166667,2289.166667,2289.166667
900.1666667,933.1666667,964.1666667,1046.166667,1165.166667,1311.166667,1451.166667,1547.166667,1570.166667,1570.166667
831.1666667,889.1666667,889.1666667,889.1666667,889.1666667,889.1666667,899.1666667,911.1666667,932.1666667,1425.166667
913.1666667,995.1666667,1080.166667,1199.166667,1335.166667,1477.166667,1611.166667,1721.166667,1793.166667,1817.166667
935.1666667,1002.166667,1044.166667,1118.166667,1198.166667,1279.166667,1359.166667,1434.166667,1503.166667,1563.166667
810.1666667,810.1666667,810.1666667,810.1666667,810.1666667,810.1666667,810.1666667,810.1666667,821.1666667,1003.166667
1038.166667,1121.166667,1202.166667,1310.166667,1429.166667,1550.166667,1663.166667,1757.166667,1820.166667,1845.166667
1526.166667,1913.166667,1972.166667,1972.166667,1972.166667,1972.166667,1972.166667,1972.166667,1972.166667,1972.166667
1735.166667,1735.166667,1735.166667,1735.166667,1735.166667,1735.166667,1735.166667,1735.166667,1735.166667,1735.166667
1795.166667,1795.166667,1795.166667,1795.166667,1795.166667,1795.166667,1795.166667,1795.166667,1795.166667,1795.166667
912.1666667,932.1666667,950.1666667,992.1666667,1055.166667,1293.166667,1297.166667,1389.166667,1543.166667,1704.166667
948.1666667,948.1666667,948.1666667,948.1666667,948.1666667,948.1666667,948.1666667,948.1666667,954.1666667,1342.166667
929.1666667,980.1666667,1044.166667,1145.166667,1277.166667,1429.166667,1582.166667,1711.166667,1792.166667,1811.166667
1191.166667,1261.166667,1302.166667,1371.166667,1439.166667,1505.166667,1567.166667,1624.166667,1675.166667,1720.166667
1027.166667,1059.166667,1059.166667,1059.166667,1059.166667,1059.166667,1064.166667,1072.166667,1079.166667,1087.166667
1185.166667,1306.166667,1421.166667,1568.166667,1718.166667,1853.166667,1958.166667,2018.166667,2028.166667,2028.166667
2039.166667,2039.166667,2039.166667,2039.166667,2039.166667,2039.166667,2039.166667,2039.166667,2039.166667,2039.166667
1854.166667,1854.166667,1854.166667,1854.166667,1854.166667,1854.166667,1854.166667,1854.166667,1854.166667,1854.166667
2498.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
1178.166667,1231.166667,1270.166667,1349.166667,1439.166667,1528.166667,1600.166667,1644.166667,1651.166667,1651.166667
840.1666667,1029.166667,1029.166667,1029.166667,1029.166667,1029.166667,1055.166667,1083.166667,1107.166667,1128.166667
1260.166667,1341.166667,1420.166667,1525.166667,1636.166667,1744.166667,1837.166667,1903.166667,1934.166667,1936.166667
1043.166667,1088.166667,1116.166667,1166.166667,1221.166667,1278.166667,1335.166667,1392.166667,1448.166667,1499.166667
914.1666667,914.1666667,914.1666667,914.1666667,914.1666667,914.1666667,914.1666667,914.1666667,914.1666667,914.1666667
1103.166667,1152.166667,1205.166667,1284.166667,1379.166667,1484.166667,1587.166667,1676.166667,1740.166667,1767.166667
1418.166667,1418.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667,2015.166667
772.1666667,1669.166667,1669.166667,1669.166667,1669.166667,1669.166667,1670.166667,1670.166667,1670.166667,1670.166667
1177.166667,1476.166667,1792.166667,1792.166667,1792.166667,1792.166667,1792.166667,1792.166667,1792.166667,1792.166667
1120.166667,1120.166667,1120.166667,1120.166667,1120.166667,1412.166667,1412.166667,1413.166667,1413.166667,1413.166667
833.1666667,922.1666667,922.1666667,922.1666667,922.1666667,922.1666667,1071.166667,1075.166667,1075.166667,1075.166667
1034.166667,1152.166667,1252.166667,1368.166667,1474.166667,1562.166667,1623.166667,1653.166667,1655.166667,1655.166667
1198.166667,1198.166667,1198.166667,1198.166667,1198.166667,1198.166667,1203.166667,1235.166667,1370.166667,1719.166667
946.1666667,946.1666667,946.1666667,946.1666667,946.1666667,946.1666667,946.1666667,946.1666667,946.1666667,946.1666667
1040.166667,1160.166667,1259.166667,1371.166667,1478.166667,1573.166667,1653.166667,1715.166667,1754.166667,1769.166667
781.1666667,1393.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667,1998.166667
1639.166667,1889.166667,1889.166667,1889.166667,1889.166667,1889.166667,1889.166667,1889.166667,1889.166667,1889.166667
2057.166667,2057.166667,2057.166667,2057.166667,2057.166667,2057.166667,2057.166667,2057.166667,2057.166667,2057.166667
1172.166667,1173.166667,1173.166667,1173.166667,1173.166667,1177.166667,1228.166667,1377.166667,1417.166667,1417.166667
1082.166667,1082.166667,1082.166667,1082.166667,1082.166667,1082.166667,1082.166667,1082.166667,1082.166667,1082.166667
935.1666667,1096.166667,1224.166667,1364.166667,1486.166667,1583.166667,1647.166667,1674.166667,1675.166667,1675.166667
1157.166667,1231.166667,1276.166667,1352.166667,1428.166667,1499.166667,1564.166667,1620.166667,1664.166667,1695.166667
1061.166667,1061.166667,1061.166667,1061.166667,1061.166667,1061.166667,1061.166667,1061.166667,1061.166667,1061.166667
1287.166667,1363.166667,1434.166667,1524.166667,1619.166667,1712.166667,1794.166667,1860.166667,1902.166667,1917.166667
1502.166667,1502.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667,2531.166667
2009.166667,2010.166667,2010.166667,2010.166667,2010.166667,2010.166667,2010.166667,2010.166667,2010.166667,2010.166667
